Serial#,Chat_File,#User_Utterance,#System_Utterance,Time_Taken
1,data_1713392633.419266.txt,4,5,132.2052035331726
2,data_1713393355.876662.txt,2,3,1007.3762669563293
3,data_1713394405.1685193.txt,1,2,3.512965440750122
4,data_1713395779.436114.txt,3,4,62.680864095687866
5,data_1713396970.2272232.txt,2,3,15.191110134124756
6,data_1713397227.440116.txt,8,9,100.85774683952332
7,data_1713397608.6648552.txt,10,11,118.75915789604187
8,data_1713399121.7865763.txt,4,5,25.085846185684204
9,data_1713399234.267591.txt,4,5,27.756784439086914
10,data_1713399320.0772738.txt,4,5,24.633943796157837
11,data_1713400002.4953516.txt,3,4,13.275329113006592
12,data_1713400076.8979073.txt,2,3,2.3322384357452393
13,data_1713400082.0974424.txt,2,3,4.928476572036743
